asd_code,asd_type,asd_area_code,asd_subarea_code
41,Area,41,
47,Area,47,
48,Area,48,
481,Subarea,48,481
482,Subarea,48,482
483,Subarea,48,483
484,Subarea,48,484
485,Subarea,48,485
486,Subarea,48,486
51,Area,51,
57,Area,57,
58,Area,58,
584,Subarea,58,584
5841,Division,58,584
5842,Division,58,584
5843,Division,58,584
5843a,Division,58,584
5843b,Division,58,584
5844,Division,58,584
5844a,Division,58,584
5844b,Division,58,584
585,Subarea,58,585
5851,Division,58,585
5852,Division,58,585
586,Subarea,58,586
587,Subarea,58,587
81,Area,81,
87,Area,87,
88,Area,88,
881,Subarea,88,881
882,Subarea,88,882
883,Subarea,88,883
