effort_id,vessel_nationality_code,fishing_purpose_code,gear_type_code,target_species_code,asd_code,season_ccamlr,year,month,vessel_size_category_code,taxon_code,greenweight_caught_tonne
2037,SUN,C,OTB,ANI,5851,1970,1969,12,,ANI,5
626,SUN,C,OTB,MZZ,483,,1970,,,NOR,399704
2038,SUN,C,OTB,ANI,5851,1971,1970,12,,ANI,18
627,SUN,C,OT,MZZ,483,,1971,,,ANI,10701
627,SUN,C,OT,MZZ,483,,1971,,,MZZ,1454
627,SUN,C,OT,MZZ,483,,1971,,,NOR,101558
628,SUN,C,OT,MZZ,58,,1971,,,MZZ,679
628,SUN,C,OT,MZZ,58,,1971,,,NOR,63636
628,SUN,C,OT,MZZ,58,,1971,,,NOS,24545
2039,SUN,C,OTB,ANI,5851,1971,1971,2,,ANI,34
2040,SUN,C,OTB,ANI,5851,1971,1971,3,,ANI,100
2041,SUN,C,OTB,ANI,5851,1971,1971,4,,ANI,90
2042,SUN,C,OTB,ANI,5851,1971,1971,5,,ANI,134
2043,SUN,C,OTB,ANI,5851,1971,1971,6,,ANI,4
2054,SUN,C,OTB,ANI,5851,1971,1971,7,,ANI,200
2053,SUN,C,OTB,ANI,5851,1971,1971,8,,ANI,591
2051,SUN,C,OTB,ANI,5851,1971,1971,9,,ANI,1221
2050,SUN,C,OTB,ANI,5851,1971,1971,10,,ANI,5811
2055,SUN,C,OTB,ANI,5851,1971,1971,11,,ANI,9755
2049,SUN,C,OTB,ANI,5851,1972,1971,12,,ANI,11929
629,SUN,C,OT,MZZ,483,,1972,,,ANI,551
629,SUN,C,OT,MZZ,483,,1972,,,MZZ,27
629,SUN,C,OT,MZZ,483,,1972,,,NOR,2738
629,SUN,C,OT,MZZ,483,,1972,,,NOS,35
630,SUN,C,OT,MZZ,58,,1972,,,MZZ,8195
630,SUN,C,OT,MZZ,58,,1972,,,NOR,104588
630,SUN,C,OT,MZZ,58,,1972,,,NOS,52912
2044,SUN,C,OTB,ANI,5851,1972,1972,1,,ANI,3350
2048,SUN,C,OTB,ANI,5851,1972,1972,2,,ANI,100
2052,SUN,C,OTB,ANI,5851,1972,1972,3,,ANI,84
2094,SUN,C,OTB,ANI,5851,1972,1972,3,,ANI,1990
2047,SUN,C,OTB,ANI,5851,1972,1972,4,,ANI,162
2046,SUN,C,OTB,ANI,5851,1972,1972,5,,ANI,144
2108,SUN,C,OTB,ANI,5852,1972,1972,5,,ANI,5860
2045,SUN,C,OTB,ANI,5851,1972,1972,6,,ANI,231
2059,SUN,C,OTB,ANI,5851,1972,1972,7,,ANI,30
2056,SUN,C,OTB,ANI,5851,1972,1972,8,,ANI,4
2058,SUN,C,OTB,ANI,5851,1972,1972,9,,ANI,5
2060,SUN,C,OTB,ANI,5851,1972,1972,10,,ANI,2
279,JPN,C,SX,KRI,484,1973,1972,12,10,KRI,2
2057,SUN,C,OTB,ANI,5851,1973,1972,12,,ANI,4
631,SUN,C,OT,MZZ,483,,1973,,,ANI,1830
631,SUN,C,OT,MZZ,483,,1973,,,NOS,765
632,SUN,C,OT,MZZ,58,,1973,,,MZZ,3444
632,SUN,C,OT,MZZ,58,,1973,,,NOR,20361
632,SUN,C,OT,MZZ,58,,1973,,,NOS,2368
280,JPN,C,SX,KRI,484,1973,1973,1,10,KRI,17
281,JPN,C,SX,KRI,486,1973,1973,1,10,KRI,40
282,JPN,C,OTM,KRI,486,1974,1973,12,9,KRI,7
287,JPN,C,OTM,KRI,5844,1974,1973,12,9,KRI,157
633,SUN,C,OT,KRI,48,,1974,,,KRI,19139
634,SUN,C,OT,MZZ,483,,1974,,,ANI,254
634,SUN,C,OT,MZZ,483,,1974,,,MZZ,493
635,SUN,C,OT,MZZ,58,,1974,,,MZZ,1759
635,SUN,C,OT,MZZ,58,,1974,,,NOR,20906
635,SUN,C,OT,MZZ,58,,1974,,,NOS,19977
283,JPN,C,OTM,KRI,486,1974,1974,1,9,KRI,43
285,JPN,C,OTM,KRI,5842,1974,1974,1,9,KRI,280
288,JPN,C,OTM,KRI,5844,1974,1974,1,9,KRI,6
284,JPN,C,OTM,KRI,486,1974,1974,2,9,KRI,150
286,JPN,C,OTM,KRI,5842,1974,1974,2,9,KRI,3
2061,SUN,C,OTB,ANI,5851,1974,1974,5,,ANI,25
2110,SUN,C,OTB,ANI,5852,1974,1974,7,,ANI,989
2111,SUN,C,OTB,ANI,5852,1974,1974,8,,ANI,1930
2109,SUN,C,OTB,ANI,5852,1974,1974,9,,ANI,2068
2064,SUN,C,OTB,ANI,5851,1974,1974,10,,ANI,475
2112,SUN,C,OTB,ANI,5852,1974,1974,10,,ANI,2207
292,JPN,C,OTM,KRI,5844,1974,1974,11,,KRI,3
2065,SUN,C,OTB,ANI,5851,1974,1974,11,,ANI,316
2115,SUN,C,OTB,ANI,5852,1974,1974,11,,ANI,331
289,JPN,C,OTM,KRI,5842,1975,1974,12,,KRI,475
