effort_id,vessel_nationality_code,fishing_purpose_code,gear_type_code,target_species_code,asd_code,season_ccamlr,year,month,vessel_size_category_code,vessel_count,fishing_days,trawl_duration_hours,haul_count,hook_count,pot_count
2037,SUN,C,OTB,ANI,5851,1970,1969,12,,,,,,,
626,SUN,C,OTB,MZZ,483,,1970,,,,,,,,
2038,SUN,C,OTB,ANI,5851,1971,1970,12,,,,,,,
627,SUN,C,OT,MZZ,483,,1971,,,,,,,,
628,SUN,C,OT,MZZ,58,,1971,,,,,,,,
2039,SUN,C,OTB,ANI,5851,1971,1971,2,,,,,,,
2040,SUN,C,OTB,ANI,5851,1971,1971,3,,,,,,,
2041,SUN,C,OTB,ANI,5851,1971,1971,4,,,,,,,
2042,SUN,C,OTB,ANI,5851,1971,1971,5,,,,,,,
2043,SUN,C,OTB,ANI,5851,1971,1971,6,,,,,,,
2054,SUN,C,OTB,ANI,5851,1971,1971,7,,,,,,,
2053,SUN,C,OTB,ANI,5851,1971,1971,8,,,,,,,
2051,SUN,C,OTB,ANI,5851,1971,1971,9,,,,,,,
2050,SUN,C,OTB,ANI,5851,1971,1971,10,,,,,,,
2055,SUN,C,OTB,ANI,5851,1971,1971,11,,,,,,,
2049,SUN,C,OTB,ANI,5851,1972,1971,12,,,,,,,
629,SUN,C,OT,MZZ,483,,1972,,,,,,,,
630,SUN,C,OT,MZZ,58,,1972,,,,,,,,
2044,SUN,C,OTB,ANI,5851,1972,1972,1,,,,,,,
2048,SUN,C,OTB,ANI,5851,1972,1972,2,,,,,,,
2052,SUN,C,OTB,ANI,5851,1972,1972,3,,,,,,,
2094,SUN,C,OTB,ANI,5851,1972,1972,3,,,,,,,
2047,SUN,C,OTB,ANI,5851,1972,1972,4,,,,,,,
2046,SUN,C,OTB,ANI,5851,1972,1972,5,,,,,,,
2108,SUN,C,OTB,ANI,5852,1972,1972,5,,,,,,,
2045,SUN,C,OTB,ANI,5851,1972,1972,6,,,,,,,
2059,SUN,C,OTB,ANI,5851,1972,1972,7,,,,,,,
2056,SUN,C,OTB,ANI,5851,1972,1972,8,,,,,,,
2058,SUN,C,OTB,ANI,5851,1972,1972,9,,,,,,,
2060,SUN,C,OTB,ANI,5851,1972,1972,10,,,,,,,
276,JPN,C,SX,KRI,481,1973,1972,12,10,1,1,,,,
277,JPN,C,SX,KRI,482,1973,1972,12,10,1,2,1,,,
279,JPN,C,SX,KRI,484,1973,1972,12,10,1,3,3,,,
2057,SUN,C,OTB,ANI,5851,1973,1972,12,,,,,,,
631,SUN,C,OT,MZZ,483,,1973,,,,,,,,
632,SUN,C,OT,MZZ,58,,1973,,,,,,,,
278,JPN,C,SX,KRI,483,1973,1973,1,10,1,1,1,,,
280,JPN,C,SX,KRI,484,1973,1973,1,10,1,12,48,,,
281,JPN,C,SX,KRI,486,1973,1973,1,10,1,13,121,,,
282,JPN,C,OTM,KRI,486,1974,1973,12,9,1,5,16,29,,
287,JPN,C,OTM,KRI,5844,1974,1973,12,9,1,18,109,,,
633,SUN,C,OT,KRI,48,,1974,,,,,,,,
634,SUN,C,OT,MZZ,483,,1974,,,,,,,,
635,SUN,C,OT,MZZ,58,,1974,,,,,,,,
283,JPN,C,OTM,KRI,486,1974,1974,1,9,1,9,39,64,,
285,JPN,C,OTM,KRI,5842,1974,1974,1,9,1,21,180,260,,
288,JPN,C,OTM,KRI,5844,1974,1974,1,9,1,21,182,,,
284,JPN,C,OTM,KRI,486,1974,1974,2,9,1,12,152,118,,
286,JPN,C,OTM,KRI,5842,1974,1974,2,9,1,3,4,5,,
2061,SUN,C,OTB,ANI,5851,1974,1974,5,,,,,,,
2110,SUN,C,OTB,ANI,5852,1974,1974,7,,,,,,,
2111,SUN,C,OTB,ANI,5852,1974,1974,8,,,,,,,
2109,SUN,C,OTB,ANI,5852,1974,1974,9,,,,,,,
2064,SUN,C,OTB,ANI,5851,1974,1974,10,,,,,,,
2112,SUN,C,OTB,ANI,5852,1974,1974,10,,,,,,,
292,JPN,C,OTM,KRI,5844,1974,1974,11,,1,1,4,,,
2065,SUN,C,OTB,ANI,5851,1974,1974,11,,,,,,,
2115,SUN,C,OTB,ANI,5852,1974,1974,11,,,,,,,
289,JPN,C,OTM,KRI,5842,1975,1974,12,,2,23,403,159,,
293,JPN,C,OTM,KRI,5844,1975,1974,12,,2,13,61,,,
2066,SUN,C,OTB,ANI,5851,1975,1974,12,,,,,,,
636,SUN,C,OT,KRI,48,,1975,,,,,,,,
