taxon_code,taxon_scientific_name,taxon_vernacular_name
ADK,Artedidraco skottsbergi,Plunderfish
AEM,Aethotaxis mitopteryx,Longfin icedevil
AJH,Anthozoa,Anthozoa
AJZ,Alcyonacea,Soft corals
AKN,Akarotaxis nudiceps,
AKW,Aphrodita aculeata,Sea mouse
ALH,Alepocephalus spp,Slickheads nei
ALI,Alepisaurus spp,Lancetfishes nei
ALZ,Diomedeidae,Albatrosses nei
ANA,Engraulis anchoita,Argentine anchovy
AND,Tylosurus acus,Agujon needlefish
ANI,Champsocephalus gunnari,Mackerel icefish
ANP,Anotopterus pharao,Daggertooth
ANS,Pleuragramma antarctica,Antarctic silverfish
ANT,Antimora rostrata,Blue antimora
APL,Plantae aquaticae,Aquatic plants nei
AQM,Amphipoda,Amphipods
AQZ,Antipatharia,Black corals and thorny corals
ART,Artedidraco spp,
ATX,Actiniaria,Sea anemones
AXT,Stylasteridae,Hydrocorals
AZN,Anthoathecata,"Hydroids, hydromedusae"
AZT,Artedidraco mirus,Plunderfish
BAA,Bathylagus antarcticus,Deepsea smelt
BAE,Balaenopteridae,Balaenoptid whales nei
BAM,Bathyraja maccaini,McCain's skate
BAT,Platax spp,Batfishes
BAW,Berardius arnuxii,Arnoux's beaked whale
BBB,Labeobarbus bynni,
BCW,Ziphius cavirostris,Cuvier's beaked whale
BDH,Bathydraco macrolepis,
BDJ,Bathydraco marri,Deep-water dragon
BDN,Bathydraco antarcticus,
BE1,Benthos,
BEA,Bathyraja eatonii,Eaton's skate
BEE,Benthalbella elongata,Pearleyes
BEL,Delphinapterus leucas,White whale
BHY,Bathyraja spp,Bathyraja rays nei
BI1,Aves,Birds
BIV,Smilium zancleanum,Acorn barnacle
BLP,Eleginops maclovinus,Patagonian blennie
BLT,Auxis rochei,Bullet tuna
BLU,Pomatomus saltatrix,Bluefish
BLW,Balaenoptera musculus,Blue whale
BMU,Bathyraja murrayi,Murray's skate
BNZ,Benthalbella macropinna,
