year,taxon_code,flag_country_code,flag_country,exporting_country_code,exporting_country,unlading_country_code,unlading_country,reexport_yes_no,exported_product_weight_tonne
2000,TOA,NZL,New Zealand,NZL,New Zealand,JPN,Japan,N,351.32
2000,TOA,NZL,New Zealand,NZL,New Zealand,SGP,Singapore,N,5.1
2000,TOA,NZL,New Zealand,NZL,New Zealand,USA,United States of America,N,48.08
2000,TOP,ARG,Argentina,ARG,Argentina,CHL,Chile,N,147.81
2000,TOP,ARG,Argentina,ARG,Argentina,CHN,China,N,309.78
2000,TOP,ARG,Argentina,ARG,Argentina,ESP,Spain,N,121.14
2000,TOP,ARG,Argentina,ARG,Argentina,JPN,Japan,N,1195.32
2000,TOP,ARG,Argentina,ARG,Argentina,USA,United States of America,N,428.03
2000,TOP,ARG,Argentina,ESP,Spain,JPN,Japan,Y,74.41
2000,TOP,AUS,Australia,,,JPN,Japan,Y,161.2
2000,TOP,AUS,Australia,AUS,Australia,CHN,China,N,912.72
2000,TOP,AUS,Australia,AUS,Australia,JPN,Japan,N,1479.6
2000,TOP,AUS,Australia,AUS,Australia,KOR,"Korea, Republic of",N,10.06
2000,TOP,AUS,Australia,AUS,Australia,PHL,Philippines,N,9.02
2000,TOP,AUS,Australia,AUS,Australia,USA,United States of America,N,8.47
2000,TOP,AUS,Australia,CHN,China,JPN,Japan,Y,117.38
2000,TOP,AUS,Australia,MUS,Mauritius,CHN,China,N,337
2000,TOP,AUS,Australia,MUS,Mauritius,JPN,Japan,N,156.55
2000,TOP,CHL,Chile,,,UNK,Unknown,Y,0.95
2000,TOP,CHL,Chile,CHL,Chile,ARG,Argentina,N,1.78
2000,TOP,CHL,Chile,CHL,Chile,BRA,Brazil,N,15
2000,TOP,CHL,Chile,CHL,Chile,CAN,Canada,N,53.6
2000,TOP,CHL,Chile,CHL,Chile,CHN,China,N,617.15
2000,TOP,CHL,Chile,CHL,Chile,ESP,Spain,N,0.2
2000,TOP,CHL,Chile,CHL,Chile,GBR,United Kingdom,N,0.02
2000,TOP,CHL,Chile,CHL,Chile,JPN,Japan,N,1242.36
2000,TOP,CHL,Chile,CHL,Chile,USA,United States of America,N,1938
2000,TOP,CHL,Chile,CHN,China,JPN,Japan,Y,23.2
2000,TOP,CHL,Chile,CHN,China,USA,United States of America,Y,28.2
2000,TOP,CHL,Chile,NAM,Namibia,JPN,Japan,N,24.49
2000,TOP,CHL,Chile,NAM,Namibia,JPN,Japan,Y,13.03
2000,TOP,CHL,Chile,NAM,Namibia,USA,United States of America,N,185.38
2000,TOP,CHL,Chile,USA,United States of America,JPN,Japan,Y,5.65
2000,TOP,ESP,Spain,CHL,Chile,JPN,Japan,Y,180.7
2000,TOP,ESP,Spain,CHL,Chile,KOR,"Korea, Republic of",Y,23.5
2000,TOP,ESP,Spain,ESP,Spain,JPN,Japan,N,222.89
2000,TOP,ESP,Spain,ESP,Spain,NAM,Namibia,N,14.64
2000,TOP,ESP,Spain,URY,Uruguay,CHL,Chile,N,325.62
2000,TOP,ESP,Spain,URY,Uruguay,JPN,Japan,N,54.5
